week_start,AutotraderInventory_FranchiseDealers_Inventory,AutotraderInventory_IndieDealers_Inventory,AutotraderInventory_TotalDealers_Inventory,BrandMedia_Addressable/Linear_Spends,BrandMedia_ConnectedTV_Spends,BrandMedia_Default_Spends,BrandMedia_Display_Spends,BrandMedia_LiveStreamVideo_Spends,BrandMedia_OOH_Spends,BrandMedia_Radio_Spends,BrandMedia_Social_Spends,BrandMedia_TotalDigitalVideo_Spends,CargurusInventory_AllFranchiseDealers_Inventory,CargurusInventory_AllIndieDealers_Inventory,CargurusInventory_PayingFranchiseDealers_Inventory,CargurusInventory_PayingIndieDealers_Inventory,CargurusInventory_TotalAllDealers_Inventory,CargurusInventory_TotalPayingDealers_Inventory,clientInventory_FranchiseDealers_Inventory,clientInventory_IndieDealers_Inventory,clientInventory_TotalDealers_Inventory,Competitor_CDKGlobal_CostofRevenue,Competitor_CDKGlobal_MarketingandSales,Competitor_CDKGlobal_OperatingExpense,Competitor_CDKGlobal_Revenue,Competitor_CDKWebsite_CostofRevenue,Competitor_CDKWebsite_MarketingandSales,Competitor_CDKWebsite_OperatingExpense,Competitor_CDKWebsite_Revenue,Competitor_CarGurus_CostofRevenue,Competitor_CarGurus_MarketingandSales,Competitor_CarGurus_OperatingExpense,Competitor_CarGurus_Revenue,Competitor_client.com_CostofRevenue,Competitor_client.com_MarketingandSales,Competitor_client.com_OperatingExpense,Competitor_client.com_Revenue,Competitor_TrueCar_CostofRevenue,Competitor_TrueCar_MarketingandSales,Competitor_TrueCar_OperatingExpense,Competitor_TrueCar_Revenue,Macro_Total_Population,Macro_Total_RealDisposablePersonalIncomePerCapita,Macro_Total_TotalVehicleSales,NonPaid_Apps_Leads,NonPaid_Apps_Visits,NonPaid_Direct_Leads,NonPaid_Direct_Visits,NonPaid_Email_Leads,NonPaid_Email_Visits,NonPaid_OtherProperties_Leads,NonPaid_OtherProperties_Visits,NonPaid_SEO_Leads,NonPaid_SEO_Visits,PerformanceMedia_App_Spends,PerformanceMedia_Display_Leads,PerformanceMedia_Display_Spends,PerformanceMedia_Display_Visits,PerformanceMedia_PaidSearch_Leads,PerformanceMedia_PaidSearch_Spends,PerformanceMedia_PaidSearch_Visits,PerformanceMedia_Partner_Leads,PerformanceMedia_Partner_Visits,PerformanceMedia_Partners_Spends,RevenueByBusiness_ConversationsDI_Revenue,RevenueByBusiness_FuelFuel_Revenue,RevenueByBusiness_NTMAclient_Revenue,RevenueByBusiness_OnlineShopperDI_Revenue,RevenueByBusiness_Packageclient_Revenue,RevenueByBusiness_Upsellclient_Revenue,RevenueByBusiness_WebsiteDI_Revenue,RevenueByCancel_Field_Revenue,RevenueByCancel_Groups_Revenue,RevenueByCancel_Inside_Revenue,RevenueByMarketplace_Field_Revenue,RevenueByMarketplace_Groups_Revenue,RevenueByMarketplace_Inside_Revenue,RevenueByPackage_Fran_Revenue,RevenueByPackage_Indy_Revenue,RevenueByProduct_DRLegacy_Revenue,RevenueByProduct_NonTraditional_Revenue,RevenueByProduct_Package_Revenue,RevenueByProduct_Upsell_Revenue,RevenueByRetail_DealerInspire_Revenue,RevenueByRetail_Fuel_Revenue,RevenueByRetail_Marketplace_Revenue,RevenueByRetail_OEM_Revenue,RevenueByRetail_Other_Revenue,RevenueBySale_Field_Revenue,RevenueBySale_Groups_Revenue,RevenueBySale_Inside_Revenue,RevenueByTotalWholesale_Amortization_Revenue,RevenueByTotalWholesale_Wholesale_Revenue,RevenueByUpsell_client360_Revenue,RevenueByUpsell_clientSocial_Revenue,RevenueByUpsell_DealerPosition_Revenue,RevenueByUpsell_DealerRaterConnections_Revenue,RevenueByUpsell_EventPositions_Revenue,RevenueByUpsell_NLP_Revenue,RevenueByUpsell_PowerPositions_Revenue,RevenueByUpsell_PreferredTradeIn_Revenue,RevenueByUpsell_Premier_Revenue,RevenueByUpsell_RepairPalCertified_Revenue,RevenueByUpsell_SocialSalesDrive_Revenue,RevenueByUpsell_StandardTradeIn_Revenue,Sales_Promo_Count,Total_DeseasonalizedMarketplace_Revenue,Total_Marketplace_SeasonalIndex,Total_Total_Visits,Total_Total_flag-covidlockdown1,Total_Total_flag-covidlockdown2,Total_Total_flag-covidpostlockdown,Total_Total_flag-covidpostlockdown2,Total_Total_flag-covidpostlockdown3,Total_Total_flag-covidpostlockdown4,Total_Total_flag-janfeb,Total_Total_flag-monthstart,Total_Total_flag-precontractexpire,Total_Total_flag-pretotalwholesalemonth,Total_Total_flag-stimulus,Total_Total_flag-stimulus2,Total_Total_flag-stimulus3,Total_Total_trend-month,Total_Total_trend-quarter,Total_Total_trend-week,Total_Total_trend-year,TruecarInventory_FranchiseDealers_Inventory,TruecarInventory_IndieDealers_Inventory,TruecarInventory_TotalDealers_Inventory
01-01-18,,,,167802.8978,0,0,0,0,0,0,0,0,,,,,,,,,,22944444.44,0,0,44846666.67,0,0,0,5883337.522,435555.5556,5561733.333,6937777.778,7676666.667,1484466.667,5136055.556,0,12444444.44,579600,3765844.444,0,6304744.444,73661677419,9837.032258,3949806.452,0,1799545.097,0,2643675.097,0,184857.129,0,1561738.613,0,1191621.968,38500,355595.7697,448914.7419,2207524.516,355595.7697,1123132.839,6442783.516,7854.908453,514421.6452,178953.6452,0,0,0,0,0,0,0,92837.16129,20949.64516,62478.3871,4973576.765,0,490203.9123,288603.7429,34232.25355,0,0,0,0,0,0,5463780.677,1826138.545,322191.3077,0,0,0,0,2510341.362,0,0,0,0,0,0,0,0,0,0,0,0,0,5652935.905,0.966538586,14984428.97,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,,,
08-01-18,,,,167802.8978,0,0,0,0,0,0,0,0,,,,,,,,,,22944444.44,0,0,44846666.67,0,0,0,5883337.522,435555.5556,5561733.333,6937777.778,7676666.667,1484466.667,5136055.556,0,12444444.44,579600,3765844.444,0,6304744.444,73661677419,9837.032258,3949806.452,0,1799545.097,0,2643675.097,0,184857.129,0,1561738.613,0,1191621.968,38500,355595.7697,448914.7419,2207524.516,355595.7697,1123132.839,6442783.516,7854.908453,514421.6452,178953.6452,0,0,0,0,0,0,0,92837.16129,20949.64516,62478.3871,4973576.765,0,490203.9123,288603.7429,34232.25355,0,0,0,0,0,0,5463780.677,1826138.545,322191.3077,0,0,0,0,2510341.362,0,0,0,0,0,0,0,0,0,0,0,0,0,5652935.905,0.966538586,14984428.97,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,,,
15-01-18,,,,167802.8978,0,0,0,0,0,0,0,0,,,,,,,,,,22944444.44,0,0,44846666.67,0,0,0,5883337.522,435555.5556,5561733.333,6937777.778,7676666.667,1484466.667,5136055.556,0,12444444.44,579600,3765844.444,0,6304744.444,73661677419,9837.032258,3949806.452,0,1799545.097,0,2643675.097,0,184857.129,0,1561738.613,0,1191621.968,38500,355595.7697,448914.7419,2207524.516,355595.7697,1123132.839,6442783.516,7854.908453,514421.6452,178953.6452,0,0,0,0,0,0,0,92837.16129,20949.64516,62478.3871,4973576.765,0,490203.9123,288603.7429,34232.25355,0,0,0,0,0,0,5463780.677,1826138.545,322191.3077,0,0,0,0,2510341.362,0,0,0,0,0,0,0,0,0,0,0,0,0,5652935.905,0.966538586,14984428.97,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,3,1,,,
22-01-18,,,,167802.8978,0,0,0,0,0,0,0,0,,,,,,,,,,22944444.44,0,0,44846666.67,0,0,0,5883337.522,435555.5556,5561733.333,6937777.778,7676666.667,1484466.667,5136055.556,0,12444444.44,579600,3765844.444,0,6304744.444,73661677419,9837.032258,3949806.452,0,1799545.097,0,2643675.097,0,184857.129,0,1561738.613,0,1191621.968,38500,355595.7697,448914.7419,2207524.516,355595.7697,1123132.839,6442783.516,7854.908453,514421.6452,178953.6452,0,0,0,0,0,0,0,92837.16129,20949.64516,62478.3871,4973576.765,0,490203.9123,288603.7429,34232.25355,0,0,0,0,0,0,5463780.677,1826138.545,322191.3077,0,0,0,0,2510341.362,0,0,0,0,0,0,0,0,0,0,0,0,0,5652935.905,0.966538586,14984428.97,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,4,1,,,
29-01-18,,,,167802.8978,0,0,0,0,0,0,0,0,,,,,,,,,,22944444.44,0,0,44846666.67,0,0,0,5883337.522,435555.5556,5561733.333,6937777.778,7676666.667,1484466.667,5136055.556,0,12444444.44,579600,3765844.444,0,6304744.444,78186861751,10454.29954,4212345.622,0,1897929.899,0,2745327.184,0,209741.0553,0,1639478.548,0,1274079.843,55963.28571,389329.7012,700156.8894,2171110.507,769199.7626,1174696.931,7082736.364,16428.12988,690611.8788,225736.2765,0,0,0,0,0,0,0,115527.962,21272.56221,81431.45161,6204707.695,0,506676.5953,247372.2241,40245.48866,0,0,0,0,145482.7704,0,6711384.29,2068545.796,321280.7619,0,0,0,0,2038661.886,0,0,0,0,0,0,0,0,0,0,0,0,0,6184718.615,1.085155964,16071536.73,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,5,1,,,
05-02-18,,,,167802.8978,0,0,0,0,0,0,0,0,,,,,,,,,,22944444.44,0,0,44846666.67,0,0,0,5883337.522,435555.5556,5561733.333,6937777.778,7676666.667,1484466.667,5136055.556,0,12444444.44,579600,3765844.444,0,6304744.444,81580750000,10917.25,4409250,0,1971718.5,0,2821566.25,0,228404,0,1697783.5,0,1335923.25,69060.75,414630.1498,888588.5,2143800,1079402.757,1213370,7562701,22858.04595,822754.554,260823.25,0,0,0,0,0,0,0,132546.0625,21514.75,95646.25,7128055.893,0,519031.1075,216448.585,44755.415,0,0,0,0,254594.8482,0,7647087,2250351.234,320597.8525,0,0,0,0,1684902.28,0,0,0,0,0,0,0,0,0,0,0,0,0,7046993.478,1.085155964,16886867.55,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,6,1,,,
12-02-18,,,,167802.8978,0,0,0,0,0,0,0,0,,,,,,,,,,22944444.44,0,0,44846666.67,0,0,0,5883337.522,435555.5556,5561733.333,6937777.778,7676666.667,1484466.667,5136055.556,0,12444444.44,579600,3765844.444,0,6304744.444,81580750000,10917.25,4409250,0,1971718.5,0,2821566.25,0,228404,0,1697783.5,0,1335923.25,69060.75,414630.1498,888588.5,2143800,1079402.757,1213370,7562701,22858.04595,822754.554,260823.25,0,0,0,0,0,0,0,132546.0625,21514.75,95646.25,7128055.893,0,519031.1075,216448.585,44755.415,0,0,0,0,254594.8482,0,7647087,2250351.234,320597.8525,0,0,0,0,1684902.28,0,0,0,0,0,0,0,0,0,0,0,0,0,7046993.478,1.085155964,16886867.55,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,7,1,,,
19-02-18,,,,167802.8978,0,0,0,0,0,0,0,0,,,,,,,,,,22944444.44,0,0,44846666.67,0,0,0,5883337.522,435555.5556,5561733.333,6937777.778,7676666.667,1484466.667,5136055.556,0,12444444.44,579600,3765844.444,0,6304744.444,81580750000,10917.25,4409250,0,1971718.5,0,2821566.25,0,228404,0,1697783.5,0,1335923.25,69060.75,414630.1498,888588.5,2143800,1079402.757,1213370,7562701,22858.04595,822754.554,260823.25,0,0,0,0,0,0,0,132546.0625,21514.75,95646.25,7128055.893,0,519031.1075,216448.585,44755.415,0,0,0,0,254594.8482,0,7647087,2250351.234,320597.8525,0,0,0,0,1684902.28,0,0,0,0,0,0,0,0,0,0,0,0,0,7046993.478,1.085155964,16886867.55,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,8,1,,,
26-02-18,,,,167802.8978,0,0,0,0,0,0,0,0,,,,,,,,,,22944444.44,0,0,44846666.67,0,0,0,5883337.522,435555.5556,5561733.333,6937777.778,7676666.667,1484466.667,5136055.556,0,12444444.44,579600,3765844.444,0,6304744.444,77084081797,10330.56336,4155614.055,0,1971580.15,0,2789755.969,0,227478.7834,0,1652796.597,0,1356671.697,99368.43203,382811.1831,915602.7396,1967044.332,981330.4129,1004130.424,7078696.926,24732.49609,763856.1913,267659.9735,0,0,0,0,0,0,0,155787.0683,25151.05876,69586.41129,6778069.065,0,490282.9058,233940.2909,41293.7644,0,0,0,0,711750.474,0,7268351.97,2219877.75,310009.3661,0,0,0,0,1574199.057,0,0,0,0,0,0,0,0,0,0,0,0,0,7154187.741,1.015957679,16155084.05,0,0,0,0,0,0,0,1,1,1,0,0,0,3,1,9,1,,,
05-03-18,,,,167802.8978,0,0,0,0,0,0,0,0,,,,,,,,,,22944444.44,0,0,44846666.67,0,0,0,5883337.522,435555.5556,5561733.333,6937777.778,7676666.667,1484466.667,5136055.556,0,12444444.44,579600,3765844.444,0,6304744.444,73711580645,9890.548387,3965387.097,0,1971476.387,0,2765898.258,0,226784.871,0,1619056.419,0,1372233.032,122099.1935,358946.9581,935863.4194,1834477.581,907776.1546,847200.7419,6715693.871,26138.3337,719682.4194,272787.5161,0,0,0,0,0,0,0,173217.8226,27878.29032,50041.53226,6515578.944,0,468721.7545,247059.0703,38697.52645,0,0,0,0,1054617.193,0,6984300.698,2197022.638,302068.0013,0,0,0,0,1491171.64,0,0,0,0,0,0,0,0,0,0,0,0,0,6874598.071,1.015957679,15606246.42,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,10,1,,,
